name,description
Friedrich Engel (mathematician),"Friedrich Engel (December 26, 1861 – September 29, 1941) was a German mathematician. Engel was born in Lugau, Saxony, as the son of a Lutheran pastor. He attended the Universities of both Leipzig and Berlin, before receiving his doctorate from Leipzig in 1883. Engel studied under Felix Klein at Leipzig, and collaborated with Sophus Lie for much of his life. He worked at Leipzig (1885–1904), Greifswald (1904–1913), and Giessen (1913–1931). He died in Giessen. Engel was the co-author, with Sophus Lie, of the three volume work Theorie der Transformationsgruppen (publ. 1888-1893; tr. , ""Theory of transformation groups""). Engel was the editor of the collected works of Sophus Lie with 6 volumes published between 1922 and 1937; the seventh and final volume was prepared for publication but appeared almost twenty years after Engel's death. He was also the editor of the collected works of Hermann Grassmann. Engel translated the works of Nikolai Lobachevski from Russian into German, thus making these works more accessible. With Paul Stäckel he wrote a history of non-Euclidean geometry (Theorie der Parallellinien von Euklid bis auf Gauss, 1895). With his former student Karl Faber, he wrote a book on the theory of partial differential equations of the first order using methods of Lie group theory. In 1910 Engel was the president of the Deutsche Mathematiker-Vereinigung."
Friedrich Foertsch,"Friedrich Albert Foertsch (19 May 1900 – 14 December 1976) was a German general serving during World War II and from 1961 to 1963 the second Inspector General of the Bundeswehr (Generalinspekteur der Bundeswehr). Foertsch was born in 1900 and joined the military service in the Imperial German Army in 1918. Serving in the infantry in the final battles of World War I, Foertsch earned the Iron Cross second class before the end of hostilities. He joined the Freikorps after the war, and later was accepted into the Reichswehr in 1920. During World War II, he held several senior staff positions, including chief of the general staff of the 18. Armee. Foertsch was awarded the Knight's Cross of the Iron Cross (Ritterkreuz des Eisernen Kreuzes) on 5 September 1944 for his leadership in the defensive battles at the Leningrad Front. He was taken prisoner of war in the Courland Pocket by the Soviet Army. At a post-war trial he initially received a death sentence, which was later commuted to 25 years of hard labor. The intervention of Bundeskanzler Konrad Adenauer, caused his release, in 1955 and Foertsch joined the newly formed Bundeswehr of the Federal Republic of Germany. He again served in many senior positions, including an assignment to the Supreme Headquarters Allied Powers Europe (SHAPE) of Nato in Paris. In 1961 he was appointed Inspector General of the Bundeswehr, a position he held until his retirement in 1963. Friedrich Foertsch died on 14 December 1976 in Goslar."
Friedrich Freiherr von Hotze,"Friedrich Freiherr (Baron) von Hotze (20 April 1739 – 25 September 1799), was a Swiss-born field marshal in the Austrian army during the French Revolutionary Wars, campaigned in the Rhineland during the War of the First Coalition and in Switzerland in the War of the Second Coalition, notably at Battle of Winterthur in late May 1799, and the First Battle of Zürich in early June 1799. He was killed at the Second Battle of Zürich. Hotze was born on 20 April 1739 in Richterswil in the Canton of Zürich, in the Old Swiss Confederacy. As a boy, he graduated from Zürich's acclaimed Carolinum academy and pursued studies at the University of Tübingen. In 1758, he entered the military service of the Duke of Württemberg, and was promoted to captain of cavalry; he campaigned in the Seven Years' War, but saw no combat. Later, he served in the Russian army in Russia's War with Turkey, (1768–74). His persistent attentiveness to Joseph II garnered for him a commission in the Austrian imperial army, and he served in the brief War of Bavarian Succession (1778–79). A diligent and creative commander, he rose quickly through the ranks. His campaigning in the War of the First Coalition, particularly at the Battle of Würzburg, earned him the Knight's Cross of the Military Order of Maria Theresa and, in 1798, the Commander's Cross. Archduke Charles placed him in full command of the center of the Austrian line at the First Battle of Zürich in 1799. He was killed by French musket fire in the morning mist near Schänis, in Canton of St. Gallen on 25 September 1799."
Friedrich Friesen,"Karl Friedrich Friesen was a German gymnast and soldier, one of the principal promoters of gymnastics in Germany."
"Friedrich Günther, Prince of Schwarzburg-Rudolstadt","Friedrich Günther, Prince of Schwarzburg-Rudolstadt (6 November 1793 – 28 June 1867) was a sovereign prince of Schwarzburg-Rudolstadt."
Friedrich Gottlob Schulze,Friedrich Gottlob Schulze (28 January 1795 - 3 July 1860) was a German economist.
Friedrich Hartogs,"Friedrich Moritz Hartogs was a German-Jewish mathematician, known for work on set theory and foundational results on several complex variables."
Friedrich Heinrich Jacobi,"Friedrich Heinrich Jacobi (25 January 1743 – 10 March 1819) was an influential German philosopher, literary figure, socialite and the younger brother of poet Johann Georg Jacobi. He is notable for coining the term nihilism and promoting it as the prime fault of Enlightenment thought particularly in the philosophical systems of Baruch Spinoza, Immanuel Kant, Johann Fichte and Friedrich Schelling. Instead of speculative reason, he advocated Glaube (variously translated as faith or ""belief"") and revelation. In this sense, Jacobi anticipated present-day writers who criticize secular philosophy as relativistic and dangerous for religious faith. In his time he was also well-known among literary circles for his critique of the Sturm and Drang movement, and implicitly close associate Johann Wolfgang von Goethe, and its visions of atomized individualism. His literary projects were devoted to the reconciliation of enlightenment individualism with social obligation."
Friedrich Hopfner,"Friedrich Hopfner (28 October 1881 — 5 September 1949) was an Austrian geodesist, geophysicist and planetary scientist. As an officer of the Austro-Hungarian Empire he began his scientific work at the Bureau of Meteorology. In 1921 he became Chief Astronomer at the new Geodetic Survey of Austria (Federal Office for Metrology and Survey or Bundesamt für Eich- und Vermessungswesen). From 1936 to 1942 and from 1945 to 1949 he was a Professor at the Vienna University of Technology (TU Wien) and over the 1948-9 term he was the university's rector."
Friedrich Jeckeln,"Friedrich August Jeckeln (2 February 1895, Hornberg, Baden  – 3 February 1946) was an SS-Obergruppenführer who served as an SS and Police Leader in the occupied Soviet Union during World War II. Jeckeln was the commanding SS General over one of the largest collection of Einsatzgruppen and was personally responsible for ordering the deaths of over 100,000 Jews, Slavs, Roma, and other ""undesirables"" of the Third Reich."
Friedrich Kasiski,"Major Friedrich Wilhelm Kasiski (29 November 1805 – 22 May 1881) was a German infantry officer, cryptographer and archeologist. Kasiski was born in Schlochau, Kingdom of Prussia."
